[6396:19704:0418/230540.514:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[6396:7072:0418/230540.568:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[6396:19704:0418/230540.612:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[6396:19704:0418/230545.942:ERROR:device_event_log_impl.cc(196)] [23:05:45.864] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Элемент не найден. (0x490)
[19432:9580:0418/230546.738:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-73FAC34F787FBC08B10AF6583879AADF will be ignored
[16312:8104:0418/230548.905:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 6-6FC1B25C04C46357F67F622462C6A71E will be ignored
[8148:6380:0418/230548.973:ERROR:shared_image_manager.cc(224)] SharedImageManager::ProduceSkia: Trying to Produce a Skia representation from a non-existent mailbox.
[8148:13888:0418/234722.072:VERBOSE1:capture_resolution_chooser.cc(205)] Recomputed snapped frame sizes: 1x1
[8148:13888:0418/234722.084:VERBOSE1:capture_resolution_chooser.cc(205)] Recomputed snapped frame sizes: 1632x976
[8148:13888:0418/234722.084:VERBOSE1:capture_resolution_chooser.cc(157)] Recomputed capture size from 1x1 to 1632x976 (100% of ideal size)
[8148:13888:0418/234722.253:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #16).
[8148:13888:0418/234722.268:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #16).
[8148:13888:0418/234722.281:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #16).
[6396:16368:0418/234749.522:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[8148:13888:0418/234956.999:VERBOSE1:capture_resolution_chooser.cc(205)] Recomputed snapped frame sizes: 1x1
[8148:13888:0418/234957.061:VERBOSE1:capture_resolution_chooser.cc(205)] Recomputed snapped frame sizes: 1920x976
[8148:13888:0418/234957.061:VERBOSE1:capture_resolution_chooser.cc(157)] Recomputed capture size from 1x1 to 1920x976 (100% of ideal size)
[8148:13888:0418/234957.181:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #35).
[8148:13888:0418/234957.195:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #35).
[8148:13888:0418/234957.210:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #35).
[8148:13888:0418/235000.256:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #93).
[8148:13888:0418/235000.283:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #93).
[8148:13888:0418/235000.299:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #93).
[8148:13888:0418/235000.314:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #93).
[8148:13888:0418/235000.330:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #93).
[8148:13888:0418/235000.345:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #93).
[8148:13888:0418/235000.360:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #93).
